19시 10분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 39초    4   76.24    0.00    5.94    4.95    0.00    0.00    0.00    0.00    0.00   12.87
19시 10분 39초    5   28.57    0.00    9.18   14.29    0.00    2.04    0.00    0.00    0.00   45.92
19시 10분 39초    6   29.70    0.00    9.90   21.78    0.00    2.97    0.00    0.00    0.00   35.64
19시 10분 39초    7   22.45    0.00    9.18   22.45    0.00    5.10    0.00    0.00    0.00   40.82
19시 10분 39초    8   25.25    0.00    7.07   22.22    0.00    3.03    0.00    0.00    0.00   42.42
19시 10분 39초    9   35.42    0.00    4.17   15.62    0.00    1.04    0.00    0.00    0.00   43.75
19시 10분 39초   10   19.35    0.00    7.53   18.28    0.00    1.08    0.00    0.00    0.00   53.76
19시 10분 39초   11   32.29    0.00    9.38   12.50    0.00    2.08    0.00    0.00    0.00   43.75

19시 10분 39초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 40초  all   33.50    0.00    7.21   20.10    0.00    2.54    0.00    0.00    0.00   36.64
19시 10분 40초    0   22.68    0.00    7.22   24.74    0.00    3.09    0.00    0.00    0.00   42.27
19시 10분 40초    1   26.73    0.00    6.93   21.78    0.00    1.98    0.00    0.00    0.00   42.57
19시 10분 40초    2   49.47    0.00    6.32   22.11    0.00    1.05    0.00    0.00    0.00   21.05
19시 10분 40초    3   47.00    0.00    9.00   16.00    0.00    7.00    0.00    0.00    0.00   21.00
19시 10분 40초    4   53.06    0.00    3.06    9.18    0.00    2.04    0.00    0.00    0.00   32.65
19시 10분 40초    5   36.63    0.00    5.94   16.83    0.00    1.98    0.00    0.00    0.00   38.61
19시 10분 40초    6   26.00    0.00   10.00   25.00    0.00    2.00    0.00    0.00    0.00   37.00
19시 10분 40초    7   21.88    0.00    7.29   30.21    0.00    4.17    0.00    0.00    0.00   36.46
19시 10분 40초    8   23.71    0.00    6.19   28.87    0.00    1.03    0.00    0.00    0.00   40.21
19시 10분 40초    9   30.61    0.00    9.18   13.27    0.00    2.04    0.00    0.00    0.00   44.90
19시 10분 40초   10   30.93    0.00    7.22   14.43    0.00    3.09    0.00    0.00    0.00   44.33
19시 10분 40초   11   33.33    0.00    8.08   19.19    0.00    1.01    0.00    0.00    0.00   38.38

19시 10분 40초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 41초  all   33.56    0.00    7.43   19.30    0.00    2.39    0.00    0.00    0.00   37.32
19시 10분 41초    0   30.69    0.00    5.94   24.75    0.00    4.95    0.00    0.00    0.00   33.66
19시 10분 41초    1   25.74    0.00    7.92   24.75    0.00    2.97    0.00    0.00    0.00   38.61
19시 10분 41초    2   95.05    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19시 10분 41초    3   27.66    0.00   11.70   24.47    0.00    6.38    0.00    0.00    0.00   29.79
19시 10분 41초    4   28.12    0.00    9.38   15.62    0.00    3.12    0.00    0.00    0.00   43.75
19시 10분 41초    5   29.13    0.00    9.71   13.59    0.00    2.91    0.00    0.00    0.00   44.66
19시 10분 41초    6   27.08    0.00    7.29   26.04    0.00    2.08    0.00    0.00    0.00   37.50
19시 10분 41초    7   25.53    0.00    5.32   28.72    0.00    2.13    0.00    0.00    0.00   38.30
19시 10분 41초    8   22.22    0.00    5.05   31.31    0.00    1.01    0.00    0.00    0.00   40.40
19시 10분 41초    9   30.21    0.00    8.33   13.54    0.00    1.04    0.00    0.00    0.00   46.88
19시 10분 41초   10   30.93    0.00    7.22   14.43    0.00    1.03    0.00    0.00    0.00   46.39
19시 10분 41초   11   27.96    0.00    6.45   15.05    0.00    1.08    0.00    0.00    0.00   49.46

19시 10분 41초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 42초  all   35.25    0.00    8.62   18.17    0.00    2.37    0.00    0.00    0.00   35.59
19시 10분 42초    0   22.45    0.00    7.14   19.39    0.00    1.02    0.00    0.00    0.00   50.00
19시 10분 42초    1   19.39    0.00   10.20   25.51    0.00    2.04    0.00    0.00    0.00   42.86
19시 10분 42초    2   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19시 10분 42초    3   34.02    0.00   11.34   24.74    0.00   10.31    0.00    0.00    0.00   19.59
19시 10분 42초    4   37.89    0.00    7.37   17.89    0.00    0.00    0.00    0.00    0.00   36.84
19시 10분 42초    5   38.61    0.00    9.90   16.83    0.00    2.97    0.00    0.00    0.00   31.68
19시 10분 42초    6   23.76    0.00    8.91   19.80    0.00    1.98    0.00    0.00    0.00   45.54
19시 10분 42초    7   24.24    0.00    9.09   25.25    0.00    3.03    0.00    0.00    0.00   38.38
19시 10분 42초    8   17.71    0.00    7.29   21.88    0.00    0.00    0.00    0.00    0.00   53.12
19시 10분 42초    9   31.68    0.00   10.89   16.83    0.00    1.98    0.00    0.00    0.00   38.61
19시 10분 42초   10   41.67    0.00    6.25   15.62    0.00    2.08    0.00    0.00    0.00   34.38
19시 10분 42초   11   36.63    0.00    8.91   14.85    0.00    2.97    0.00    0.00    0.00   36.63

19시 10분 42초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 43초  all   30.74    0.00    7.60   21.18    0.00    2.90    0.00    0.00    0.00   37.57
19시 10분 43초    0   68.00    0.00    5.00   10.00    0.00    0.00    0.00    0.00    0.00   17.00
19시 10분 43초    1   27.66    0.00    6.38   30.85    0.00    1.06    0.00    0.00    0.00   34.04
19시 10분 43초    2   35.29    0.00    7.84   23.53    0.00    2.94    0.00    0.00    0.00   30.39
19시 10분 43초    3   39.80    0.00    9.18   24.49    0.00    9.18    0.00    0.00    0.00   17.35
19시 10분 43초    4   24.47    0.00    8.51   17.02    0.00    3.19    0.00    0.00    0.00   46.81
19시 10분 43초    5   29.59    0.00    7.14   14.29    0.00    3.06    0.00    0.00    0.00   45.92
19시 10분 43초    6   15.79    0.00    5.26   26.32    0.00    2.11    0.00    0.00    0.00   50.53
19시 10분 43초    7   21.00    0.00    7.00   33.00    0.00    5.00    0.00    0.00    0.00   34.00
19시 10분 43초    8   23.23    0.00    6.06   24.24    0.00    2.02    0.00    0.00    0.00   44.44
19시 10분 43초    9   25.00    0.00    9.38   16.67    0.00    3.12    0.00    0.00    0.00   45.83
19시 10분 43초   10   28.57    0.00   10.20   16.33    0.00    2.04    0.00    0.00    0.00   42.86
19시 10분 43초   11   28.87    0.00    9.28   17.53    0.00    1.03    0.00    0.00    0.00   43.30

19시 10분 43초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 44초  all   33.53    0.00    7.94   19.11    0.00    2.82    0.00    0.00    0.00   36.60
19시 10분 44초    0   19.19    0.00    9.09   26.26    0.00    3.03    0.00    0.00    0.00   42.42
19시 10분 44초    1   20.43    0.00    4.30   24.73    0.00    2.15    0.00    0.00    0.00   48.39
19시 10분 44초    2   19.39    0.00    6.12   25.51    0.00    4.08    0.00    0.00    0.00   44.90
19시 10분 44초    3   91.00    0.00    5.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00
19시 10분 44초    4   40.82    0.00    7.14   13.27    0.00    3.06    0.00    0.00    0.00   35.71
19시 10분 44초    5   37.37    0.00   11.11   15.15    0.00    1.01    0.00    0.00    0.00   35.35
19시 10분 44초    6   20.62    0.00   10.31   24.74    0.00    1.03    0.00    0.00    0.00   43.30
19시 10분 44초    7   22.68    0.00    7.22   23.71    0.00    4.12    0.00    0.00    0.00   42.27
19시 10분 44초    8   21.21    0.00    6.06   27.27    0.00    4.04    0.00    0.00    0.00   41.41
19시 10분 44초    9   32.00    0.00   10.00   17.00    0.00    2.00    0.00    0.00    0.00   39.00
19시 10분 44초   10   33.33    0.00    8.60   19.35    0.00    3.23    0.00    0.00    0.00   35.48
19시 10분 44초   11   42.42    0.00   10.10   13.13    0.00    2.02    0.00    0.00    0.00   32.32

19시 10분 44초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 45초  all   31.76    0.00    8.42   20.72    0.00    2.02    0.00    0.00    0.00   37.07
19시 10분 45초    0   18.81    0.00    9.90   24.75    0.00    1.98    0.00    0.00    0.00   44.55
19시 10분 45초    1   17.89    0.00    8.42   28.42    0.00    2.11    0.00    0.00    0.00   43.16
19시 10분 45초    2   20.00    0.00   10.00   31.00    0.00    2.00    0.00    0.00    0.00   37.00
19시 10분 45초    3   46.94    0.00   11.22   15.31    0.00    4.08    0.00    0.00    0.00   22.45
19시 10분 45초    4   53.92    0.00    9.80    9.80    0.00    1.96    0.00    0.00    0.00   24.51
19시 10분 45초    5   54.46    0.00    7.92   10.89    0.00    0.99    0.00    0.00    0.00   25.74
19시 10분 45초    6   25.00    0.00    7.29   29.17    0.00    2.08    0.00    0.00    0.00   36.46
19시 10분 45초    7   25.51    0.00    5.10   29.59    0.00    2.04    0.00    0.00    0.00   37.76
19시 10분 45초    8   21.00    0.00    8.00   26.00    0.00    4.00    0.00    0.00    0.00   41.00
19시 10분 45초    9   29.47    0.00    9.47   14.74    0.00    1.05    0.00    0.00    0.00   45.26
19시 10분 45초   10   30.00    0.00    7.00   16.00    0.00    2.00    0.00    0.00    0.00   45.00
19시 10분 45초   11   36.63    0.00    6.93   13.86    0.00    0.00    0.00    0.00    0.00   42.57

19시 10분 45초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
